10335141	18	2.7
10364341	8	1.2
10377501	8	1.2
10711201	7	1.05
11139072	15	2.25
11357321	12	1.8
11418138	6	0.9
11490178	5	0.75
11506123	10	1.5
12340236	11	1.65
12366206	18	2.7
12469562	7	1.05
12528013	15	2.25
12720625	13	1.95
13185985	9	1.35
13187597	11	1.65
13188232	10	1.5
13188917	13	1.95
13317591	6	0.9
13346756	14	2.1
13361061	10	1.5
13383916	15	2.25
13384391	16	2.4
13389916	12	1.8
13392971	13	1.95
13396541	8	1.2
13404552	15	2.25
13444572	14	2.1
13509027	11	1.65
13528347	13	1.95
13528567	8	1.2
13560667	3	0.45
13703225	7	1.05
13739531	12	1.8
14182386	16	2.4
14189054	9	1.35
14250551	10	1.5
14301776	10	1.5
14301846	9	1.35
14305111	13	1.95
14307161	12	1.8
14310111	10	1.5
14310121	13	1.95
14311676	14	2.1
14312801	10	1.5
14312901	14	2.1
14314161	7	1.05
14316311	11	1.65
14316846	8	1.2
14318206	11	1.65
14318526	6	0.9
14319196	12	1.8
14322431	9	1.35
14323021	17	2.55
14324961	7	1.05
14325186	16	2.4
14325276	7	1.05
14326861	11	1.65
14332376	14	2.1
14334256	10	1.5
14334451	11	1.65
14335391	15	2.25
14337336	11	1.65
14337476	11	1.65
14338426	13	1.95
14339511	7	1.05
14339571	2	0.3
14339576	15	2.25
14339671	15	2.25
14339721	10	1.5
14340366	12	1.8
14342196	7	1.05
14342871	12	1.8
14343616	16	2.4
14345706	8	1.2
14347201	6	0.9
14347501	17	2.55
14351241	18	2.7
14360271	10	1.5
14360281	18	2.7
14362046	10	1.5
14363276	12	1.8
14365946	12	1.8
14366601	7	1.05
14369566	7	1.05
14370206	9	1.35
14371191	17	2.55
14371466	9	1.35
14373066	10	1.5
14376336	14	2.1
14378311	10	1.5
14378736	10	1.5
14378946	6	0.9
14381156	15	2.25
14382156	7	1.05
14384761	14	2.1
14385046	11	1.65
14385551	10	1.5
14386831	12	1.8
14387566	12	1.8
14392186	12	1.8
14392471	14	2.1
14393236	11	1.65
14395376	12	1.8
14396966	8	1.2
14397461	9	1.35
14397826	10	1.5
14398856	12	1.8
14404468	14	2.1
14405378	12	1.8
14410342	12	1.8
14412408	17	2.55
14417122	8	1.2
14417572	11	1.65
14420818	13	1.95
14424868	12	1.8
14426788	17	2.55
14430452	12	1.8
14431022	5	0.75
14432232	11	1.65
14433748	12	1.8
14434682	8	1.2
14436798	11	1.65
14437862	15	2.25
14438338	10	1.5
14446122	15	2.25
14446932	10	1.5
14447212	11	1.65
14447938	6	0.9
14449318	9	1.35
14452698	10	1.5
14455532	14	2.1
14456042	5	0.75
14458272	17	2.55
14459162	5	0.75
14463318	11	1.65
14467548	9	1.35
14467728	12	1.8
14471812	14	2.1
14472302	10	1.5
14472608	8	1.2
14472802	15	2.25
14477138	9	1.35
14478352	10	1.5
14484002	12	1.8
14487882	9	1.35
14491388	11	1.65
14491432	7	1.05
14492178	6	0.9
14492568	10	1.5
14492782	5	0.75
14495362	13	1.95
14495362	13	1.95
14496602	7	1.05
14502687	7	1.05
14505657	5	0.75
14509337	18	2.7
14511183	6	0.9
14511223	11	1.65
14514313	13	1.95
14515843	15	2.25
14517807	16	2.4
14523803	17	2.55
14531227	8	1.2
14531693	7	1.05
14538597	9	1.35
14541747	12	1.8
14543623	14	2.1
14545163	8	1.2
14558373	8	1.2
14562727	11	1.65
14565367	17	2.55
14568793	13	1.95
14703995	12	1.8
14706335	10	1.5
14708669	8	1.2
14710285	8	1.2
14713545	9	1.35
14720091	12	1.8
14725489	13	1.95
14725579	5	0.75
14726975	7	1.05
14729391	6	0.9
14730151	7	1.05
14738675	8	1.2
14739811	10	1.5
14745911	9	1.35
14746251	9	1.35
14748239	13	1.95
14750571	13	1.95
14756481	13	1.95
14758329	6	0.9
14760305	14	2.1
14760871	14	2.1
15186938	16	2.4
15187683	8	1.2
15187691	16	2.4
15187705	8	1.2
15187721	10	1.5
15187756	6	0.9
15187764	13	1.95
15187772	12	1.8
15187781	19	2.85
15187799	11	1.65
15187811	7	1.05
15187829	6	0.9
15187861	5	0.75
15188116	11	1.65
15188132	6	0.9
15188159	14	2.1
15250609	15	2.25
15329966	10	1.5
15376786	15	2.25
15456452	12	1.8
15459202	17	2.55
15726701	9	1.35
63130157	11	1.65
65006660	10	1.5
65422663	6	0.9
65879990	8	1.2
67328940	19	2.85
68371881	15	2.25
69012079	14	2.1
69480994	9	1.35
69487182	19	2.85
93141513	15	2.25
95024875	9	1.35
99613859	13	1.95
63523403	13	1.95
